lat,lon,dbh_in,condition,height_m,match_distance_m
40.769534,-73.966260,11,Good,19.0,3.14
40.774166,-73.959005,16,Dead,13.9,6.61
40.774458,-73.953761,10,Poor,11.0,1.36
40.793990,-73.967896,7,Good,7.6,2.80
40.786266,-73.975623,6,Dead,8.0,2.18
40.798665,-73.949815,12,Good,13.3,1.15
40.779181,-73.975106,10,Dead,20.6,3.29
40.776200,-73.978176,12,Dead,18.6,3.37
40.799027,-73.970209,1,Unknown,8.3,3.77
40.788569,-73.976331,11,Good,12.8,3.37
40.794727,-73.969460,5,Good,10.3,7.39
40.765668,-73.962966,14,Good,11.7,2.13
40.788512,-73.979236,13,Good,18.4,3.04
40.788466,-73.972710,18,Good,17.3,2.04
40.765146,-73.961733,16,Good,12.4,2.94
40.793675,-73.967222,10,Good,9.6,1.34
40.795217,-73.971407,9,Dead,11.3,3.06
40.783610,-73.980166,12,Good,12.8,2.59
40.784126,-73.979819,16,Poor,11.5,1.92
40.789591,-73.971411,3,Poor,9.1,3.07
40.770246,-73.965743,10,Unknown,9.3,0.22
40.798949,-73.950491,9,Good,8.6,1.46
40.795782,-73.975627,20,Dead,20.7,2.36
40.766547,-73.959163,14,Fair,13.4,2.60
40.788353,-73.972442,18,Fair,15.2,1.77
40.765479,-73.962519,12,Good,12.2,3.40
40.765840,-73.968874,12,Fair,13.3,2.29
40.766419,-73.967475,13,Fair,11.5,2.00
40.766377,-73.958762,14,Good,11.6,2.39
40.794731,-73.969648,14,Good,10.6,2.56
40.780204,-73.981584,0,Dead,5.5,5.66
40.777270,-73.980466,0,Dead,11.5,3.15
40.775580,-73.978648,14,Unknown,12.8,3.67
